job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
房产客户经理|6001-8000|北京|CC646805527|北京众信泰富投资担保有限公司|['股份制企业']|['100-499人']|['http://www.movenomove.com']|['房地产/建筑/建材/工程,中介服务,信托/担保/拍卖/典当']|['北京朝阳区建国路91号金地中心A座805-807']|[<Element div at 0x1076ce9a8>]
游学总监|5000-10000|北京|CC446132723|洛克沃德(北京)国际教育咨询有限公司|['民营']|['20-99人']|[]|['北京市东城区东直门外大街42号宇飞大厦']|[]|[<Element div at 0x1076ce6d8>]
客户开发（,销售 外贸销售）|8000-12000|北京|CC637363422|北京高科中天技术股份有限公司|['上市公司']|['20-99人']|['http://www.iton.cn']|['通信/电信运营、增值服务,电子技术/半导体/集成电路,计算机硬件,计算机软件']|['海淀区知春路23号量子银座8层']|[<Element div at 0x1076ce728>]
销售经理|8001-10000|北京|CC130044360|北京科锐配电自动化股份有限公司|['上市公司']|['1000-9999人']|['http://www.creat-da.com.cn']|['仪器仪表及工业自动化,大型设备/机电设备/重工业,电子技术/半导体/集成电路,电气/电力/水利']|['北京市海淀区西北旺东路10号院软件园二期科锐大厦']|[<Element div at 0x1076cedb8>]
基金项目策划管理|10000-20000|北京|CC149043356|澳大利亚国际商业协会北京代表处|['外商独资']|['20-99人']|['http://www.aita.com.cn']|['其他']|['北京市东城区广渠门外大街广渠家园2号楼-名敦道4层']|[<Element div at 0x1076cf548>]
房产销售顾问/美国房产销售/欧洲房产销售/日本,地产销售|8001-10000|北京|CC623755429|北美房产投资集团|['股份制企业']|['20-99人']|[]|['东城区朝阳门北大街2号港澳中心写字楼5层']|[]|[<Element div at 0x1076cfb88>]
房产置业顾问|4001-6000|北京|CC378220935|北青海外(北京)国际投资管理有限公司|['民营']|['20-99人']|[]|['北京市朝阳区东三环北路38号院4号楼好世界商场地下一层B04']|[]|[<Element div at 0x107678b88>]
产品经理-,保险|10001-15000|北京|CC692750321|凤凰金融|['民营']|['100-499人']|['http://www.fengjr.com']|['互联网/电子商务,基金/证券/期货/投资']|['北京市朝阳区望京朝来科技园紫月路18号院18号楼']|[<Element div at 0x107678e58>]
广告运营|8000-15000|北京|CC256873932|北京多点在线科技有限公司|['民营']|['20-99人']|['http://www.yeshen.com']|['互联网/电子商务,网络游戏']|['北京海淀区上地八街7号院4号楼3单元303室多点科技']|[<Element div at 0x107678b88>]
执行|8000-10000|北京|CC276660686|一带一路(北京)国际物流有限公司|['民营']|['20-99人']|[]|['北京市顺义区南法信旭辉空港中心B座1108']|[]|[<Element div at 0x107678ea8>]
非洲,执行|8000-10000|北京-顺义区|CC276660686|一带一路(北京)国际物流有限公司|['民营']|['20-99人']|[]|['北京市顺义区南法信旭辉空港中心B座1108']|[]|[<Element div at 0x107678ea8>]
亚洲,执行|8000-10000|北京-顺义区|CC276660686|一带一路(北京)国际物流有限公司|['民营']|['20-99人']|[]|['北京市顺义区南法信旭辉空港中心B座1108']|[]|[<Element div at 0x107678b88>]
亚洲,经理|15000-20000|北京|CC276660686|一带一路(北京)国际物流有限公司|['民营']|['20-99人']|[]|['北京市顺义区南法信旭辉空港中心B座1108']|[]|[<Element div at 0x107678bd8>]
经理|15001-20000|北京|CC276660686|一带一路(北京)国际物流有限公司|['民营']|['20-99人']|[]|['北京市顺义区南法信旭辉空港中心B座1108']|[]|[<Element div at 0x107678bd8>]
销售代表|4001-6000|北京|CC559243926|普菲特益斯生物科技（北京）有限公司|['民营']|['20-99人']|[]|[]|[]|[<Element div at 0x107678bd8>]
总裁秘书（,留学人才）|7000-10000|北京-海淀区|CC280895411|北京北方投资集团有限公司|['民营']|['10000人以上']|[]|['北京市海淀区阜城路北三街8号']|[]|[<Element div at 0x1076cef98>]
社交媒体传播项目负责人|10001-15000|北京|CC120724653|中国外文出版发行事业局|['事业单位']|['1000-9999人']|['http://www.cipg.org.cn/']|['媒体/出版/影视/文化传播,教育/培训/院校,印刷/包装/造纸,政府/公共事业/非盈利机构']|['北京市西城区百万庄大街24号']|[<Element div at 0x1076cef98>]
【,】房产销售/置业顾问/投资顾问【外企】|10001-15000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076cec28>]
